,Vendor,Model,Current_Price,Old_price,Time,Date
186,Ippon,Back Basic 850 Euro(плохая упаковка),2960,3590,09.08.2022,15:34:58
187,PowerCom,Raptor RPT-2000AP LCD,,,09.08.2022,15:34:58
188,Eaton,9SX 2000I,,,09.08.2022,15:34:58
189,Ippon,Smart Power Pro II 1600,,,09.08.2022,15:34:58
190,Ippon,Smart Power Pro II Euro 1600,,,09.08.2022,15:34:58
191,Ippon,Smart Power Pro II Euro 2200,,,09.08.2022,15:34:58
192,APC,Back-UPS BE650G2-RS,,,09.08.2022,15:34:58
193,Ippon,Smart Power Pro II 1600,,,09.08.2022,15:34:58
194,Ippon,Smart Power Pro II Euro 1600,,,09.08.2022,15:34:58
195,APC,Back-UPS BX950UI,,,09.08.2022,15:34:58
196,APC,Easy-UPS BVX2200LI,,,09.08.2022,15:34:58
197,Ippon,Smart Power Pro II Euro 2200,,,09.08.2022,15:34:58
198,APC,Back-UPS Pro BR900G-RS,,,09.08.2022,15:34:58
199,Ippon,Smart Winner II 1500,,,09.08.2022,15:34:58
200,Ippon,Innova G2 3000,,,09.08.2022,15:34:58
201,Eaton,9SX 2000I,,,09.08.2022,15:34:58
202,APC,Smart-UPS SMT1500I,,,09.08.2022,15:34:58
203,Ippon,Innova RT II 6000,,,09.08.2022,15:34:58
204,APC,Smart-UPS SMT3000RMI2U,,,09.08.2022,15:34:58
205,Name,None,Current_Price,Old_price,Time,Date
206,ИБП SunWind SW850,None,2750,2669,10.08.2022,15:37:01
207,Ippon,Back Basic 650S Euro,3050,,10.08.2022,15:37:01
208,Ippon,Back Basic 650 Euro,2790,,10.08.2022,15:37:01
209,Ippon,Back Basic 850 Euro,3590,,10.08.2022,15:37:01
210,Ippon,Back Basic 650,2490,,10.08.2022,15:37:01
211,ИБП SunWind SW650,None,2250,2209,10.08.2022,15:37:01
212,PowerCom,Raptor RPT-600A EURO,2960,2889,10.08.2022,15:37:01
213,ИБП SunWind SW1200 LCD,None,5700,5539,10.08.2022,15:37:01
214,Ippon,Back Basic 850S Euro,3790,,10.08.2022,15:37:01
215,Ippon,Back Basic 2200 Euro,11190,13120,10.08.2022,15:37:01
216,PowerCom,Raptor RPT-1000A EURO,4090,,10.08.2022,15:37:01
217,PowerCom,Raptor RPT-800A EURO,3090,,10.08.2022,15:37:01
218,Ippon,Back Basic 1050 Euro,5190,5790,10.08.2022,15:37:01
219,PowerCom,WOW 300,2560,,10.08.2022,15:37:01
220,ИБП SunWind SW450,None,2070,2019,10.08.2022,15:37:01
221,Ippon,Back Comfo Pro II 650,6490,6850,10.08.2022,15:37:01
222,PowerCom,Spider SPD-1000N,5290,,10.08.2022,15:37:01
223,Ippon,Back Basic 850,3290,4250,10.08.2022,15:37:01
224,PowerCom,Raptor RPT-600A,2750,2689,10.08.2022,15:37:01
225,ИБП SunWind SW1050,None,5420,5310,10.08.2022,15:37:01
226,PowerCom,Spider SPD-450N,3490,4550,10.08.2022,15:37:01
227,Ippon,Back Verso 600,4290,,10.08.2022,15:37:01
